customer_id,name,age,annual_income,credit_score,employment_type,state,years_employed,existing_loans_count
CUST00001,Rohit Malhotra,44,437000.0,764,Self-Employed,Karnataka,5,3
CUST00002,Karan Reddy,43,439000.0,788,Self-Employed,Karnataka,4,0
CUST00003,Kavya Verma,55,540000.0,661,Salaried,Delhi,12,2
CUST00004,Ravi Reddy,36,528000.0,512,Salaried,Telangana,9,0
CUST00005,Suresh Gupta,31,606000.0,675,Salaried,Rajasthan,5,1
CUST00006,Kavya Singh,36,584000.0,845,Salaried,Rajasthan,3,0
CUST00007,Priya Iyer,50,1137000.0,696,Business Owner,Rajasthan,3,1
CUST00008,Ananya Patel,44,215000.0,741,Business Owner,Rajasthan,6,0
CUST00009,Rahul Iyer,38,678000.0,746,Salaried,UP,15,0
CUST00010,Pooja Bose,30,622000.0,757,Business Owner,Karnataka,0,1
CUST00011,Meera Chopra,57,561000.0,829,Salaried,Maharashtra,8,1
CUST00012,Karan Yadav,30,422000.0,766,Salaried,Tamil Nadu,25,1
CUST00013,Ravi Iyer,37,557000.0,673,Salaried,West Bengal,18,1
CUST00014,Simran Singh,57,265000.0,590,Contractual,Rajasthan,19,0
CUST00015,Vikram Pillai,54,665000.0,714,Contractual,Gujarat,14,3
CUST00016,Rohit Rao,52,728000.0,664,Self-Employed,Maharashtra,8,0
CUST00017,Rohit Das,27,422000.0,737,Salaried,Karnataka,20,0
CUST00018,Sneha Mishra,31,1583000.0,610,Salaried,UP,27,1
CUST00019,Nisha Rao,37,565000.0,655,Self-Employed,Karnataka,19,1
CUST00020,Priya Malhotra,25,613000.0,680,Salaried,UP,27,0
CUST00021,Karan Verma,43,1170000.0,604,Salaried,Karnataka,21,0
CUST00022,Pooja Joshi,34,1751000.0,683,Self-Employed,Gujarat,0,2
CUST00023,Karan Singh,37,342000.0,742,Salaried,Gujarat,25,1
CUST00024,Divya Bose,50,450000.0,832,Salaried,UP,0,1
CUST00025,Sneha Das,27,570000.0,621,Salaried,Tamil Nadu,15,3
CUST00026,Kavya Gupta,47,414000.0,752,Self-Employed,Gujarat,4,0
CUST00027,Priya Mehta,32,916000.0,521,Contractual,Delhi,20,1
CUST00028,Meera Gupta,45,392000.0,679,Salaried,Telangana,26,0
CUST00029,Nisha Iyer,50,1130000.0,685,Salaried,Delhi,8,0
CUST00030,Priya Nair,24,820000.0,745,Salaried,Karnataka,0,0
CUST00031,Sneha Mishra,31,1074000.0,638,Salaried,Rajasthan,18,1
CUST00032,Shruti Yadav,22,393000.0,699,Self-Employed,Delhi,15,0
CUST00033,Kavya Mishra,47,495000.0,768,Salaried,UP,2,1
CUST00034,Kavya Chopra,33,940000.0,589,Salaried,Maharashtra,3,3
CUST00035,Nikhil Das,35,859000.0,523,Self-Employed,Karnataka,11,2
CUST00036,Karan Shah,46,520000.0,766,Salaried,Telangana,28,0
CUST00037,Arjun Yadav,29,558000.0,600,Contractual,Telangana,6,0
CUST00038,Nikhil Sharma,25,483000.0,716,Salaried,Delhi,14,1
CUST00039,Rohit Rao,49,551000.0,836,Salaried,Maharashtra,22,0
CUST00040,Rahul Iyer,28,370000.0,746,Salaried,Karnataka,14,3
CUST00041,Kavya Reddy,31,340000.0,602,Salaried,Karnataka,25,3
CUST00042,Ravi Bose,57,992000.0,563,Business Owner,Tamil Nadu,4,1
CUST00043,Kavya Singh,23,541000.0,617,Self-Employed,Karnataka,29,0
CUST00044,Amit Sharma,47,1067000.0,693,Salaried,West Bengal,24,2
CUST00045,Vikram Nair,35,808000.0,660,Self-Employed,Maharashtra,22,2
CUST00046,Rohit Rao,37,701000.0,788,Contractual,Gujarat,1,1
CUST00047,Rohit Rao,38,421000.0,733,Salaried,Rajasthan,11,0
CUST00048,Kavya Iyer,43,328000.0,621,Salaried,Rajasthan,18,1
CUST00049,Priya Sharma,25,477000.0,747,Salaried,Delhi,26,2
CUST00050,Shruti Kumar,40,1291000.0,800,Business Owner,Gujarat,22,0
CUST00051,Amit Iyer,23,936000.0,654,Salaried,West Bengal,4,2
CUST00052,Kavya Singh,60,456000.0,718,Salaried,UP,22,0
CUST00053,Rahul Singh,30,480000.0,610,Salaried,Maharashtra,24,2
CUST00054,Vikram Yadav,40,377000.0,668,Self-Employed,Maharashtra,24,1
CUST00055,Divya Singh,37,277000.0,608,Business Owner,West Bengal,2,0
CUST00056,Rahul Kumar,46,631000.0,779,Salaried,Gujarat,23,0
CUST00057,Divya Verma,39,1422000.0,639,Salaried,Punjab,28,1
CUST00058,Arjun Yadav,44,1430000.0,715,Contractual,Tamil Nadu,5,0
CUST00059,Karan Nair,42,813000.0,730,Salaried,Maharashtra,12,1
CUST00060,Nikhil Pillai,32,444000.0,900,Salaried,Delhi,19,0
CUST00061,Rohit Bose,60,291000.0,658,Self-Employed,Tamil Nadu,14,0
CUST00062,Simran Gupta,25,1013000.0,617,Self-Employed,Delhi,3,1
CUST00063,Vikram Verma,46,750000.0,674,Salaried,UP,19,1
CUST00064,Nikhil Yadav,53,512000.0,611,Salaried,Rajasthan,6,1
CUST00065,Suresh Gupta,51,471000.0,641,Self-Employed,Karnataka,21,1
CUST00066,Nikhil Verma,47,810000.0,738,Self-Employed,UP,17,1
CUST00067,Ravi Patel,57,397000.0,626,Business Owner,Gujarat,20,1
CUST00068,Meera Shah,55,676000.0,724,Business Owner,Gujarat,20,0
CUST00069,Ananya Iyer,30,326000.0,727,Salaried,Rajasthan,21,0
CUST00070,Pooja Malhotra,33,1828000.0,699,Business Owner,Gujarat,6,0
CUST00071,Suresh Verma,23,426000.0,733,Salaried,Delhi,11,1
CUST00072,Rahul Sharma,59,830000.0,656,Business Owner,Gujarat,10,1
CUST00073,Simran Shah,26,330000.0,519,Self-Employed,Rajasthan,23,1
CUST00074,Arjun Singh,26,553000.0,684,Self-Employed,Karnataka,11,2
CUST00075,Rohit Mehta,43,934000.0,686,Self-Employed,Delhi,25,0
CUST00076,Kavya Rao,26,1040000.0,650,Salaried,Delhi,29,1
CUST00077,Vikram Sharma,25,879000.0,731,Salaried,Maharashtra,14,0
CUST00078,Ravi Nair,30,560000.0,741,Salaried,West Bengal,7,1
CUST00079,Pooja Yadav,50,430000.0,697,Business Owner,Tamil Nadu,10,1
CUST00080,Arjun Malhotra,43,350000.0,687,Salaried,Maharashtra,20,2
CUST00081,Aakash Bose,48,1273000.0,777,Salaried,Delhi,17,2
CUST00082,Simran Iyer,31,632000.0,594,Business Owner,Maharashtra,9,2
CUST00083,Rohit Patel,37,693000.0,653,Salaried,Rajasthan,7,2
CUST00084,Amit Bose,31,1075000.0,759,Business Owner,Gujarat,5,0
CUST00085,Vikram Bose,27,805000.0,722,Salaried,Karnataka,2,0
CUST00086,Aakash Bose,26,563000.0,661,Salaried,Punjab,19,3
CUST00087,Priya Patel,27,871000.0,711,Salaried,Karnataka,11,2
CUST00088,Vikram Sharma,46,440000.0,636,Business Owner,Gujarat,16,1
CUST00089,Rahul Pillai,25,276000.0,692,Salaried,UP,2,0
CUST00090,Priya Iyer,61,1215000.0,735,Salaried,Delhi,19,2
CUST00091,Ananya Gupta,53,458000.0,783,Self-Employed,Punjab,17,0
CUST00092,Suresh Bose,56,515000.0,732,Business Owner,West Bengal,29,0
CUST00093,Ananya Kumar,31,539000.0,789,Salaried,Telangana,11,1
CUST00094,Simran Patel,55,444000.0,564,Self-Employed,Tamil Nadu,21,0
CUST00095,Ananya Reddy,57,1041000.0,502,Self-Employed,Delhi,23,0
CUST00096,Shruti Chopra,27,724000.0,505,Self-Employed,West Bengal,15,2
CUST00097,Rahul Rao,37,515000.0,769,Salaried,Telangana,27,0
CUST00098,Ananya Chopra,40,317000.0,728,Salaried,Telangana,21,3
CUST00099,Amit Malhotra,55,698000.0,622,Salaried,West Bengal,9,3
CUST00100,Sneha Pillai,46,180000.0,649,Self-Employed,UP,18,2
CUST00101,Amit Pillai,52,674000.0,706,Salaried,Maharashtra,8,3
CUST00102,Simran Verma,38,1174000.0,622,Self-Employed,Karnataka,13,1
CUST00103,Simran Rao,51,620000.0,614,Salaried,Maharashtra,19,1
CUST00104,Rahul Joshi,60,1097000.0,627,Salaried,Maharashtra,13,2
CUST00105,Rohit Das,52,325000.0,620,Self-Employed,Karnataka,21,1
CUST00106,Kavya Sharma,40,1663000.0,683,Business Owner,Maharashtra,3,1
CUST00107,Suresh Das,56,1039000.0,813,Self-Employed,Karnataka,14,1
CUST00108,Meera Singh,50,761000.0,599,Salaried,Punjab,19,1
CUST00109,Rohit Chopra,22,445000.0,674,Salaried,Karnataka,26,2
CUST00110,Shruti Malhotra,25,409000.0,716,Self-Employed,Maharashtra,1,1
CUST00111,Aakash Patel,49,579000.0,722,Salaried,Rajasthan,25,1
CUST00112,Rahul Chopra,39,1095000.0,639,Self-Employed,West Bengal,17,1
CUST00113,Pooja Kumar,47,311000.0,729,Salaried,Karnataka,1,1
CUST00114,Vikram Rao,61,603000.0,713,Business Owner,Karnataka,17,0
CUST00115,Arjun Singh,40,866000.0,643,Business Owner,Karnataka,7,2
CUST00116,Ravi Chopra,27,955000.0,571,Salaried,Tamil Nadu,9,0
CUST00117,Shruti Singh,22,865000.0,588,Self-Employed,Maharashtra,19,3
CUST00118,Simran Sharma,29,295000.0,739,Salaried,Rajasthan,3,2
CUST00119,Simran Reddy,54,1057000.0,794,Salaried,West Bengal,9,1
CUST00120,Aakash Joshi,42,621000.0,680,Salaried,Rajasthan,9,3
CUST00121,Sneha Mehta,45,349000.0,792,Self-Employed,Tamil Nadu,26,1
CUST00122,Kavya Malhotra,46,593000.0,675,Salaried,Karnataka,29,0
CUST00123,Amit Chopra,40,225000.0,588,Business Owner,Tamil Nadu,2,1
CUST00124,Amit Das,50,801000.0,663,Salaried,Tamil Nadu,20,0
CUST00125,Divya Das,31,563000.0,799,Salaried,Rajasthan,3,0
CUST00126,Priya Singh,33,318000.0,631,Salaried,Telangana,22,1
CUST00127,Shruti Rao,54,519000.0,669,Self-Employed,Maharashtra,9,2
CUST00128,Sneha Sharma,28,421000.0,774,Salaried,Punjab,6,1
CUST00129,Sneha Sharma,38,435000.0,769,Salaried,Telangana,21,1
CUST00130,Divya Chopra,31,194000.0,704,Salaried,Maharashtra,22,0
CUST00131,Simran Joshi,52,260000.0,722,Salaried,Karnataka,11,1
CUST00132,Rohit Singh,27,535000.0,765,Salaried,Karnataka,6,0
CUST00133,Aakash Sharma,38,491000.0,704,Salaried,Gujarat,12,0
CUST00134,Shruti Iyer,58,976000.0,782,Salaried,Maharashtra,7,2
CUST00135,Ravi Mishra,39,437000.0,733,Salaried,Karnataka,26,0
CUST00136,Ananya Mehta,47,461000.0,668,Salaried,Telangana,12,0
CUST00137,Nikhil Pillai,37,472000.0,714,Self-Employed,Maharashtra,0,0
CUST00138,Kavya Patel,29,544000.0,649,Salaried,Tamil Nadu,15,1
CUST00139,Rahul Yadav,45,628000.0,602,Salaried,UP,18,2
CUST00140,Rahul Kumar,34,490000.0,588,Self-Employed,Telangana,27,3
CUST00141,Shruti Pillai,50,798000.0,663,Self-Employed,Tamil Nadu,18,1
CUST00142,Sneha Singh,53,1895000.0,705,Contractual,Maharashtra,20,1
CUST00143,Aakash Bose,45,397000.0,824,Salaried,UP,25,0
CUST00144,Pooja Mishra,37,730000.0,713,Business Owner,UP,29,0
CUST00145,Ananya Singh,32,609000.0,695,Self-Employed,Punjab,12,1
CUST00146,Arjun Kumar,53,1013000.0,672,Business Owner,Maharashtra,28,1
CUST00147,Aakash Mishra,27,664000.0,651,Contractual,Rajasthan,6,1
CUST00148,Amit Sharma,56,417000.0,690,Salaried,Tamil Nadu,14,0
